TenureGroup,用户数,占比,流失率,平均订单数,平均返现,平均满意度
新用户,508,0.0902,0.5354330708661418,1.889763779527559,142.44257874015747,3.1791338582677167
0-6个月,1642,0.2917,0.25883069427527405,2.6839220462850184,164.87205846528622,3.0907429963459196
7-12个月,1584,0.2813,0.09848484848484848,2.7474747474747474,163.3139393939394,2.98989898989899
13-24个月,1467,0.2606,0.06475800954328562,3.704839809134288,204.91599182004092,3.087934560327198
24个月以上,429,0.0762,0.0,3.5454545454545454,222.3400233100233,3.0536130536130535
